re_energy_con,CO2_em_pc,CO2_em_ppp,access_elec,access_clean_fuels
5.31,7.543688365,0.274546359,99.99224091,96.1
1.12,4.287831755,0.21161663,100.0,98.8
76.61,0.274401426,0.122621658,50.90000153,0.9
7.54,3.198316143,0.07019782,100.0,100.0
11.72,3.913979585,0.771454288,95.91629028,63.4
25.17,0.86402456,0.157225734,44.3121376,43.3
9.19,3.264040403,0.138462073,99.44884491,97.0
10.03,3.649350191,0.178461743,99.5,84.8
1.75,1.532511803,0.425956624,79.70291138,12.7
25.75,3.154547318,0.249110776,99.98999786,95.6
,,,100.0,100.0
3.26,6.811017869,0.551936305,98.09999847,48.7
40.6,4.017826292,0.186759014,100.0,61.8
10.9,1.808085149,0.215573802,98.09999847,97.9
79.57,0.236202713,0.178429798,31.10000038,4.6
59.55,0.625450763,0.134069275,66.22727966,26.4
30.66,1.758338607,0.167278717,54.00289536,46.0
0.66,5.031868388,0.402496506,99.92822266,100.0
74.27,0.532856949,0.139924952,93.91999817,32.3
7.39,8.783850008,0.151899743,100.0,100.0
4.77,,,100.0,
30.73,6.603273193,0.155295297,100.0,100.0
51.44,0.777513538,0.134720697,87.11667633,53.8
82.0,0.086370866,0.070693063,17.60000038,2.1
82.28,0.553915601,0.106289763,56.5,10.7
20.87,3.51601022,0.20933133,99.80000305,76.8
0.0,,,100.0,
60.75,7.076542655,0.101371036,100.0,100.0
0.0,16.43064961,0.469052622,100.0,100.0
43.3,0.852449537,0.162818089,72.78310394,46.3
0.3,13.99462606,0.777166377,100.0,100.0
24.44,2.415218377,0.075785302,94.9285202,87.6
52.96,0.810356522,0.204776219,55.72738647,9.0
59.24,1.314538119,0.092707982,99.59999847,67.4
27.89,1.695133992,0.130399429,95.19999695,81.5
27.51,1.276333177,0.149007024,94.44826508,45.4
11.27,8.213615723,0.256454278,100.0,100.0
27.47,4.813385529,0.137806649,100.0,100.0
1.36,,,100.0,
0.05,31.23540631,0.333545388,100.0,100.0
23.03,3.86105157,0.130581276,100.0,87.1
3.18,11.49657125,0.392500446,100.0,89.2
84.5,0.102938057,0.049031521,36.96815109,1.4
36.63,1.382921358,0.219993336,99.99447632,34.6
,,,100.0,100.0
37.85,0.662427136,0.162254497,71.0,2.7
0.02,14.88543121,0.317143262,100.0,100.0
36.15,0.653615395,0.189489933,66.0,25.2
21.05,6.606418045,0.372864959,100.0,77.3
1.24,5.994088416,0.203692353,100.0,100.0
75.95,0.109396931,0.066356312,26.10000038,0.65
0.73,8.406228967,0.083489355,100.0,100.0
0.05,,,100.0,
12.43,6.058635474,0.194096254,100.0,100.0
20.61,6.784338879,0.174129106,100.0,100.0
48.64,0.546075935,0.202535545,66.17976379,8.9
94.93,0.042826293,0.038076753,50.7649765,2.7
10.19,7.575039606,0.528815371,84.69999695,85.7
28.65,0.149105425,,6.173169613,0.0
17.42,5.492571471,0.134964595,100.0,100.0
51.4,1.00092296,0.071080116,99.56487274,29.4
1.6,5.234396265,0.170690468,100.0,100.0
10.22,2.979402609,0.186259136,98.87739563,94.8
,,,100.0,
4.93,2.374597506,0.164657569,100.0,94.7
61.27,0.496677809,0.111534961,52.44700241,51.3
17.55,3.722324749,0.197169137,97.40000153,93.3
51.54,3.538991742,0.066122644,100.0,100.0
24.2,4.40199099,0.061428667,100.0,100.0
0.9,1.416714605,,86.0,97.2
39.47,0.950906528,0.272744367,99.30000305,80.9
85.24,0.206574427,0.08277676,35.04802322,3.9
23.7,3.613917211,0.199761486,99.81999969,81.7
12.71,0.483419132,0.153750929,85.38140106,11.5
75.08,0.287074946,0.13873404,50.0,8.6
1.78,1.521635724,0.23634857,99.13256836,79.75
0.45,11.81623868,0.451952463,100.0,100.0
11.91,2.504809913,0.221457306,99.80000305,99.8
11.83,4.972025981,0.178833466,100.0,95.2
0.06,12.04438716,0.821398267,100.0,99.9
0.44,,,100.0,
8.32,0.920386542,0.210607677,99.06538391,68.9
90.07,0.14115246,0.063038339,41.91999817,0.6
6.92,4.159783074,0.347643576,100.0,95.0
0.32,19.37819696,0.264512996,100.0,100.0
10.99,5.427748177,0.114091869,100.0,100.0
10.12,15.22254765,0.242376979,100.0,100.0
60.86,1.908351273,0.080390532,99.80000305,100.0
1.49,3.412721809,0.470581519,100.0,84.3
29.96,0.706361945,0.226558608,61.75451279,8.3
14.57,4.430079197,,99.91120148,97.25
21.81,3.009029365,0.304983064,100.0,63.3
3.43,,,100.0,
12.73,,,100.0,
3.6,0.31568166,,62.0,61.5
82.28,0.433395739,0.123552177,40.31789017,11.9
80.23,0.822472016,0.334753425,45.57264709,29.9
